time;SmartMeter-House-4: W-power.real.c.ELECTRICITY;Load-House-4: W-power.real.c.ELECTRICITY;WashingMachine-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: Wh-energy.soc
466500;1202.0;202.0;1000.0;0.0;0.0
466560;1202.0;202.0;1000.0;10000.0;0.0
466620;1202.0;202.0;1000.0;0.0;10000.0
466680;1202.0;202.0;1000.0;0.0;0.0
466740;1202.0;202.0;1000.0;10000.0;0.0
466800;1202.0;202.0;1000.0;0.0;10000.0
466860;1202.0;202.0;1000.0;0.0;0.0
466920;1202.0;202.0;1000.0;10000.0;0.0
466980;1202.0;202.0;1000.0;0.0;10000.0
467040;1202.0;202.0;1000.0;0.0;0.0
467100;1096.0;96.0;1000.0;10000.0;0.0
467160;1096.0;96.0;1000.0;0.0;10000.0
467220;1096.0;96.0;1000.0;0.0;0.0
467280;1096.0;96.0;1000.0;10000.0;0.0
467340;1096.0;96.0;1000.0;0.0;10000.0
467400;1096.0;96.0;1000.0;0.0;0.0
467460;1096.0;96.0;1000.0;10000.0;0.0
467520;1096.0;96.0;1000.0;0.0;10000.0
467580;1096.0;96.0;1000.0;0.0;0.0
467640;1096.0;96.0;1000.0;10000.0;0.0
467700;1096.0;96.0;1000.0;0.0;10000.0
467760;1096.0;96.0;1000.0;0.0;0.0
467820;1096.0;96.0;1000.0;10000.0;0.0
467880;1096.0;96.0;1000.0;0.0;10000.0
467940;1096.0;96.0;1000.0;0.0;0.0
468000;1096.0;96.0;1000.0;10000.0;0.0
468060;1096.0;96.0;1000.0;0.0;10000.0
468120;1096.0;96.0;1000.0;0.0;0.0
468180;1096.0;96.0;1000.0;10000.0;0.0
468240;1096.0;96.0;1000.0;0.0;10000.0
468300;1096.0;96.0;1000.0;0.0;0.0
468360;1096.0;96.0;1000.0;10000.0;0.0
468420;1096.0;96.0;1000.0;0.0;10000.0
468480;1096.0;96.0;1000.0;0.0;0.0
468540;1096.0;96.0;1000.0;10000.0;0.0
468600;1096.0;96.0;1000.0;0.0;10000.0
468660;1096.0;96.0;1000.0;0.0;0.0
468720;1096.0;96.0;1000.0;10000.0;0.0
